Salary,Age,Weight,Name
947276.0,25.0,195.0,Jared Cunningham
1662360.0,21.0,194.0,Tyler Ennis
2943221.0,25.0,229.0,John Henson
855000.0,21.0,246.0,Damien Inglis
8000000.0,28.0,210.0,O.J. Mayo
14700000.0,24.0,234.0,Khris Middleton
16407500.0,26.0,265.0,Greg Monroe
295327.0,32.0,225.0,Steve Novak
845059.0,23.0,257.0,Johnny O'Bryant III
5152440.0,21.0,250.0,Jabari Parker
2109294.0,27.0,249.0,Miles Plumlee
6600000.0,29.0,217.0,Greivis Vasquez
1733040.0,19.0,202.0,Rashad Vaughn
1449000.0,22.0,228.0,Justin Anderson
4290000.0,31.0,185.0,J.J. Barea
1100602.0,28.0,200.0,Jeremy Evans
3950313.0,31.0,205.0,Raymond Felton
4053446.0,33.0,185.0,Devin Harris
2085671.0,33.0,245.0,David Lee
16407500.0,29.0,220.0,Wesley Matthews
1270964.0,28.0,270.0,JaVale McGee
525093.0,29.0,245.0,Salah Mejri
8333334.0,37.0,245.0,Dirk Nowitzki
5200000.0,32.0,275.0,Zaza Pachulia
15361500.0,27.0,230.0,Chandler Parsons
845059.0,24.0,240.0,Dwight Powell
947276.0,31.0,232.0,Charlie Villanueva
5378974.0,31.0,200.0,Deron Williams
8193030.0,30.0,215.0,Trevor Ariza
306527.0,27.0,235.0,Michael Beasley
6486486.0,27.0,185.0,Patrick Beverley
8229375.0,30.0,186.0,Corey Brewer
1242720.0,22.0,240.0,Clint Capela
1646400.0,22.0,230.0,Sam Dekker
200600.0,27.0,200.0,Andrew Goudelock
15756438.0,26.0,220.0,James Harden
1000000.0,22.0,240.0,Montrezl Harrell
22359364.0,30.0,265.0,Dwight Howard
2489530.0,24.0,252.0,Terrence Jones
3189794.0,23.0,205.0,K.J. McDaniels
2288205.0,25.0,222.0,Donatas Motiejunas
947276.0,30.0,225.0,Josh Smith
947276.0,38.0,185.0,Jason Terry
1404600.0,21.0,209.0,Jordan Adams
5158539.0,34.0,213.0,Tony Allen
